timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open
2014-08-17,849294.9176470588,19729645940.577,12613.553626470588,60223,0,165298,248443,18666.6409,170,491.7950134277,22832500.0,6833965309.5,519.1420288086
2014-08-18,842439.8787878788,19729645940.577,12611.382532828284,72758,0,204384,222980,5916.6927000000005,198,461.4599914551,24300900.0,6468997660.75,491.5069885254
2014-08-19,886922.2150537635,20349111933.858334,11883.3754,74740,0,201539,219985,6068.3291,186,485.2449951172,50783800.0,6072259848.0,461.4800109863
2014-08-20,972016.49704142,23844670038.803005,11831.414778106508,73842,0,201102,217567,5647.0382,169,511.9800109863,38422400.0,6387510426.38,485.0719909668
2014-08-21,1006334.1818181818,23844670038.803005,12236.064876363636,73164,0,203182,225979,5579.465699999999,165,517.2369995117,46527600.0,6741573447.0,510.449005127
2014-08-22,991933.3757961784,23844670038.803005,13024.338808917197,66998,0,192199,204518,5587.489,157,514.0430297852,49444200.0,6812929385.67,517.5809936523
2014-08-23,782105.2345679012,23844670038.803005,12842.035395679011,57593,0,154541,169967,4420.1209,162,498.075012207,36563900.0,6772889206.18,513.3939819336
2014-08-24,968617.6712328768,23844670038.803005,12629.96924589041,56695,0,162230,246319,4557.9663,146,508.2860107422,25171900.0,6564528885.0,498.2850036621
2014-08-25,1162126.0729927006,23844670038.803005,12646.462102189782,69894,0,195656,208488,8283.2913,137,502.4960021973,19441700.0,6700963066.7,508.2200012207
2014-08-26,978666.034682081,23844670038.803005,12620.89775317919,72660,0,210338,215466,5821.1027,173,511.5700073242,18356700.0,6626339377.6,502.5440063477
2014-08-27,1015240.0710059172,23844670038.803005,12722.910766272187,74581,0,215120,213754,5857.670899999999,169,511.1530151367,23235100.0,6748171027.0,512.1890258789
2014-08-28,898031.7225433526,23844670038.803005,12898.433693641617,68628,0,187098,223619,5351.4696,173,507.8150024414,22648500.0,6744868296.2,510.8840026855
2014-08-29,846688.4,23844670038.803005,12803.337414117645,68614,0,175285,191312,5327.3467,170,508.516998291,19862000.0,6703031046.25,508.424987793
2014-08-30,745329.4505494506,23844670038.80301,12724.49606868132,61214,0,163275,191434,4640.3195000000005,182,504.2489929199,17624800.0,6714458468.0,508.5899963379
2014-08-31,718413.6808510638,23901860903.64537,12633.36156329787,57755,0,156912,223276,4485.9503,188,477.7630004883,9424070.0,6660385522.73,502.9049987793
2014-09-01,1185450.7647058824,27428630902.258,12283.04806764706,70383,0,193658,230557,5344.536,136,474.8789978027,44632300.0,6312801959.75,477.7869873047
2014-09-02,1129848.1360544218,27428630902.258,12021.817044897958,71909,0,205488,212488,5559.157,147,477.425994873,20432000.0,6276309535.35,474.4750061035
2014-09-03,954185.846153846,27428630902.258,11981.722756213016,71868,0,199968,201280,5318.8477,169,477.5859985352,23337900.0,6311703012.15,476.8710021973
2014-09-04,999654.4050632912,27428630902.25799,11996.66205886076,70810,0,193564,205128,5358.0646,158,489.6600036621,13342200.0,6315859936.3,477.6799926758
2014-09-05,1091062.2620689657,27428630902.258,12144.877708275862,68038,0,194670,208264,5347.2441,145,483.342010498,26081400.0,6477467310.0,489.6650085449
2014-09-06,782726.4581005586,27428630902.258,12198.151045810057,63369,0,170766,188251,4681.014999999999,179,484.8299865723,15302500.0,6395641761.75,483.341003418
2014-09-07,1009557.341935484,27428630902.258,12184.914627741937,60352,0,172376,299744,9596.7128,155,482.2780151367,10601400.0,6417500778.0,485.1289978027
2014-09-08,1187081.1944444445,27428630902.258,12187.426536805557,75766,0,210254,220567,5929.4048,144,474.6000061035,8994050.0,6385589802.05,481.8110046387
2014-09-09,1410211.178082192,27428630902.258,11929.704407534246,81812,0,259778,239736,6709.3225,146,475.2600097656,30238000.0,6285637995.0,474.8800048828
2014-09-10,1228194.3694267515,27428630902.25799,11838.829077707009,72558,0,246495,210391,6017.7081,157,479.3590087891,21447800.0,6296101902.0,475.4840087891
